date,IOC,overlap
2010-08-25,13.0,
2010-08-26,11.0,
2010-08-27,14.0,
2010-08-28,10.0,
2010-08-29,7.0,
2010-08-30,9.0,
2010-08-31,11.0,
2010-09-01,12.0,
2010-09-02,18.0,
2010-09-03,18.0,
2010-09-04,10.0,
2010-09-05,7.0,
2010-09-06,17.0,
2010-09-07,24.0,
2010-09-08,20.0,
2010-09-09,20.0,
2010-09-10,15.0,
2010-09-11,10.0,
2010-09-12,12.0,
2010-09-13,21.0,
2010-09-14,34.0,
2010-09-15,25.0,
2010-09-16,19.0,
2010-09-17,21.0,
2010-09-18,14.0,
2010-09-19,14.0,
2010-09-20,27.0,
2010-09-21,26.0,
2010-09-22,25.0,
2010-09-23,19.0,
2010-09-24,15.0,
2010-09-25,13.0,
2010-09-26,13.0,
2010-09-27,26.0,1.0
2010-09-28,28.0,1.0
2010-09-29,21.0,1.0
2010-09-30,23.0,1.0
2010-10-01,21.0,1.0
2010-10-02,12.0,1.0
2010-10-03,17.0,1.0
2010-10-04,28.0,1.0
2010-10-05,23.0,1.0
2010-10-06,22.0,1.0
2010-10-07,21.0,1.0
2010-10-08,20.0,1.0
2010-10-09,14.0,1.0
2010-10-10,18.0,1.0
2010-10-11,22.0,1.0
2010-10-12,24.0,1.0
2010-10-13,29.0,1.0
2010-10-14,28.0,1.0
2010-10-15,27.0,1.0
2010-10-16,13.0,1.0
2010-10-17,12.0,1.0
2010-10-18,24.0,1.0
2010-10-19,25.0,1.0
2010-10-20,22.0,1.0
2010-10-21,22.0,1.0
2010-10-22,17.0,1.0
2010-10-23,11.0,1.0
2010-10-24,14.0,1.0
2010-10-25,21.0,1.0
2010-10-26,23.0,1.0
2010-10-27,19.0,1.0
2010-10-28,19.0,1.0
2010-10-29,22.0,1.0
2010-10-30,16.0,1.0
2010-10-31,11.0,1.0
2010-11-01,18.0,1.0
2010-11-02,29.0,1.0
2010-11-03,25.0,1.0
2010-11-04,17.0,1.0
2010-11-05,15.0,1.0
2010-11-06,13.0,1.0
2010-11-07,16.0,1.0
2010-11-08,27.0,1.0
2010-11-09,24.0,1.0
2010-11-10,19.0,1.0
2010-11-11,22.0,1.0
2010-11-12,20.0,1.0
2010-11-13,15.0,1.0
2010-11-14,15.0,1.0
2010-11-15,26.0,1.0
2010-11-16,28.0,1.0
2010-11-17,19.0,1.0
2010-11-18,20.0,1.0
2010-11-19,22.0,1.0
2010-11-20,13.0,1.0
2010-11-21,20.0,1.0
2010-11-22,18.0,1.0
2010-11-23,25.0,1.0
2010-11-24,15.0,1.0
2010-11-25,21.0,1.0
2010-11-26,23.0,1.0
2010-11-27,15.0,1.0
2010-11-28,12.0,1.0
2010-11-29,23.0,1.0
2010-11-30,24.0,1.0
2010-12-01,22.0,1.0
2010-12-02,23.0,1.0
2010-12-03,21.0,1.0
2010-12-04,9.0,1.0
2010-12-05,10.0,1.0
2010-12-06,17.0,1.0
2010-12-07,16.0,1.0
2010-12-08,13.0,1.0
2010-12-09,16.0,1.0
2010-12-10,18.0,1.0
2010-12-11,19.0,1.0
2010-12-12,14.0,1.0
2010-12-13,20.0,1.0
2010-12-14,24.0,1.0
2010-12-15,20.0,1.0
2010-12-16,20.0,1.0
2010-12-17,14.0,1.0
2010-12-18,11.0,1.0
2010-12-19,11.0,1.0
2010-12-20,20.0,1.0
2010-12-21,24.0,1.0
2010-12-22,15.0,1.0
2010-12-23,14.0,1.0
2010-12-24,10.0,1.0
2010-12-25,6.0,1.0
2010-12-26,7.0,1.0
2010-12-27,11.0,1.0
2010-12-28,12.0,1.0
2010-12-29,13.0,1.0
2010-12-30,11.0,1.0
2010-12-31,9.0,1.0
2011-01-01,7.0,1.0
2011-01-02,6.0,1.0
2011-01-03,13.0,1.0
2011-01-04,14.0,1.0
2011-01-05,16.0,1.0
2011-01-06,13.0,
2011-01-07,18.0,
2011-01-08,10.0,
2011-01-09,12.0,
2011-01-10,33.0,
2011-01-11,30.0,
2011-01-12,16.0,
2011-01-13,20.0,
2011-01-14,21.0,
2011-01-15,18.0,
2011-01-16,15.0,
2011-01-17,21.0,
2011-01-18,20.0,
2011-01-19,21.0,
2011-01-20,22.0,
2011-01-21,31.0,
2011-01-22,16.0,
2011-01-23,12.0,
2011-01-24,20.0,
2011-01-25,23.0,
2011-01-26,23.0,
2011-01-27,25.0,
2011-01-28,21.0,
2011-01-29,16.0,
2011-01-30,15.0,
2011-01-31,25.0,
2011-02-01,21.0,
2011-02-02,23.0,
2011-02-03,18.0,
2011-02-04,19.0,
2011-02-05,13.0,
2011-02-06,15.0,
2011-02-07,23.0,
2011-02-08,26.0,
2011-02-09,21.0,
2011-02-10,23.0,
2011-02-11,27.0,
2011-02-12,14.0,
2011-02-13,19.0,
2011-02-14,23.0,
2011-02-15,21.0,
2011-02-16,19.0,
2011-02-17,27.0,
2011-02-18,32.0,
2011-02-19,19.0,
2011-02-20,18.0,
2011-02-21,31.0,
2011-02-22,28.0,
2011-02-23,26.0,
2011-02-24,26.0,
2011-02-25,22.0,
2011-02-26,17.0,
2011-02-27,13.0,
2011-02-28,23.0,
2011-03-01,20.0,
2011-03-02,24.0,
2011-03-03,25.0,
2011-03-04,18.0,
2011-03-05,16.0,
2011-03-06,13.0,
2011-03-07,17.0,
2011-03-08,20.0,
2011-03-09,22.0,
2011-03-10,21.0,
2011-03-11,21.0,
2011-03-12,16.0,
2011-03-13,15.0,
2011-03-14,22.0,
2011-03-15,23.0,1.0
2011-03-16,26.0,1.0
2011-03-17,18.0,1.0
2011-03-18,22.0,1.0
2011-03-19,12.0,1.0
2011-03-20,9.0,1.0
2011-03-21,24.0,1.0
2011-03-22,16.0,1.0
2011-03-23,24.0,1.0
2011-03-24,22.0,1.0
2011-03-25,21.0,1.0
2011-03-26,9.0,1.0
2011-03-27,16.0,1.0
2011-03-28,21.0,1.0
2011-03-29,17.0,1.0
2011-03-30,19.0,1.0
2011-03-31,22.0,1.0
2011-04-01,16.0,1.0
2011-04-02,11.0,1.0
2011-04-03,12.0,1.0
2011-04-04,27.0,1.0
2011-04-05,18.0,1.0
2011-04-06,27.0,1.0
2011-04-07,24.0,1.0
2011-04-08,17.0,1.0
2011-04-09,13.0,1.0
2011-04-10,17.0,1.0
2011-04-11,28.0,1.0
2011-04-12,22.0,1.0
2011-04-13,20.0,1.0
2011-04-14,18.0,1.0
2011-04-15,16.0,1.0
2011-04-16,15.0,1.0
2011-04-17,8.0,1.0
2011-04-18,24.0,1.0
2011-04-19,17.0,1.0
2011-04-20,14.0,1.0
2011-04-21,17.0,1.0
2011-04-22,13.0,1.0
2011-04-23,12.0,1.0
2011-04-24,14.0,1.0
2011-04-25,23.0,1.0
2011-04-26,26.0,1.0
2011-04-27,29.0,1.0
2011-04-28,22.0,1.0
2011-04-29,21.0,1.0
2011-04-30,17.0,1.0
2011-05-01,16.0,1.0
2011-05-02,29.0,1.0
2011-05-03,24.0,1.0
2011-05-04,24.0,1.0
2011-05-05,26.0,1.0
2011-05-06,22.0,1.0
2011-05-07,19.0,1.0
2011-05-08,16.0,1.0
2011-05-09,28.0,1.0
2011-05-10,23.0,1.0
2011-05-11,25.0,1.0
2011-05-12,24.0,1.0
2011-05-13,20.0,1.0
2011-05-14,13.0,1.0
2011-05-15,17.0,1.0
2011-05-16,32.0,1.0
2011-05-17,25.0,1.0
2011-05-18,24.0,1.0
2011-05-19,21.0,1.0
2011-05-20,22.0,1.0
2011-05-21,12.0,1.0
2011-05-22,12.0,1.0
2011-05-23,23.0,1.0
2011-05-24,21.0,1.0
2011-05-25,23.0,1.0
2011-05-26,23.0,1.0
2011-05-27,21.0,1.0
2011-05-28,13.0,1.0
2011-05-29,11.0,1.0
2011-05-30,26.0,1.0
2011-05-31,23.0,1.0
2011-06-01,25.0,1.0
2011-06-02,21.0,1.0
2011-06-03,29.0,1.0
2011-06-04,13.0,1.0
2011-06-05,14.0,1.0
2011-06-06,20.0,1.0
2011-06-07,26.0,1.0
2011-06-08,21.0,1.0
2011-06-09,17.0,1.0
2011-06-10,18.0,1.0
2011-06-11,11.0,1.0
2011-06-12,11.0,1.0
2011-06-13,12.0,1.0
2011-06-14,20.0,1.0
2011-06-15,21.0,1.0
2011-06-16,21.0,1.0
2011-06-17,22.0,1.0
2011-06-18,13.0,1.0
2011-06-19,10.0,1.0
2011-06-20,21.0,1.0
2011-06-21,22.0,1.0
2011-06-22,19.0,1.0
2011-06-23,15.0,1.0
2011-06-24,10.0,
2011-06-25,8.0,
2011-06-26,11.0,
2011-06-27,19.0,
2011-06-28,17.0,
2011-06-29,13.0,
2011-06-30,12.0,
2011-07-01,14.0,
2011-07-02,5.0,
2011-07-03,9.0,
2011-07-04,13.0,
2011-07-05,16.0,
2011-07-06,48.0,
2011-07-07,20.0,
2011-07-08,17.0,
2011-07-09,5.0,
2011-07-10,10.0,
2011-07-11,15.0,
2011-07-12,11.0,
2011-07-13,11.0,
2011-07-14,13.0,
2011-07-15,13.0,
2011-07-16,7.0,
2011-07-17,7.0,
2011-07-18,10.0,
2011-07-19,13.0,
2011-07-20,11.0,
2011-07-21,12.0,
2011-07-22,12.0,
2011-07-23,8.0,
2011-07-24,8.0,
2011-07-25,10.0,
2011-07-26,11.0,
2011-07-27,11.0,
2011-07-28,14.0,
2011-07-29,9.0,
2011-07-30,7.0,
2011-07-31,10.0,
2011-08-01,10.0,
2011-08-02,8.0,
2011-08-03,10.0,
2011-08-04,18.0,
2011-08-05,13.0,
2011-08-06,6.0,
2011-08-07,5.0,
2011-08-08,13.0,
2011-08-09,10.0,
2011-08-10,14.0,
2011-08-11,10.0,
2011-08-12,10.0,
2011-08-13,6.0,
2011-08-14,7.0,
2011-08-15,8.0,
2011-08-16,10.0,
2011-08-17,13.0,
2011-08-18,13.0,
2011-08-19,11.0,
2011-08-20,5.0,
2011-08-21,7.0,
2011-08-22,14.0,
2011-08-23,12.0,
2011-08-24,14.0,
2011-08-25,14.0,
2011-08-26,12.0,
2011-08-27,8.0,
2011-08-28,6.0,
2011-08-29,12.0,
2011-08-30,12.0,
2011-08-31,13.0,1.0
2011-09-01,13.0,1.0
2011-09-02,20.0,1.0
2011-09-03,10.0,1.0
2011-09-04,10.0,1.0
2011-09-05,16.0,1.0
2011-09-06,16.0,1.0
2011-09-07,19.0,1.0
2011-09-08,16.0,1.0
2011-09-09,14.0,1.0
2011-09-10,11.0,1.0
2011-09-11,14.0,1.0
2011-09-12,23.0,1.0
2011-09-13,28.0,1.0
2011-09-14,21.0,1.0
2011-09-15,24.0,1.0
2011-09-16,23.0,1.0
2011-09-17,14.0,1.0
2011-09-18,16.0,1.0
2011-09-19,28.0,1.0
2011-09-20,22.0,1.0
2011-09-21,24.0,1.0
2011-09-22,28.0,1.0
2011-09-23,26.0,1.0
2011-09-24,15.0,1.0
2011-09-25,16.0,1.0
2011-09-26,28.0,1.0
2011-09-27,26.0,1.0
2011-09-28,26.0,1.0
2011-09-29,22.0,1.0
2011-09-30,16.0,1.0
2011-10-01,15.0,1.0
2011-10-02,15.0,1.0
2011-10-03,24.0,1.0
2011-10-04,20.0,1.0
2011-10-05,27.0,1.0
2011-10-06,27.0,1.0
2011-10-07,20.0,1.0
2011-10-08,12.0,1.0
2011-10-09,14.0,1.0
2011-10-10,23.0,1.0
2011-10-11,24.0,1.0
2011-10-12,22.0,1.0
2011-10-13,22.0,1.0
2011-10-14,23.0,1.0
2011-10-15,15.0,1.0
2011-10-16,24.0,1.0
2011-10-17,23.0,1.0
2011-10-18,27.0,1.0
2011-10-19,23.0,1.0
2011-10-20,25.0,1.0
2011-10-21,16.0,1.0
2011-10-22,15.0,1.0
2011-10-23,16.0,1.0
2011-10-24,25.0,1.0
2011-10-25,21.0,1.0
2011-10-26,20.0,1.0
2011-10-27,22.0,1.0
2011-10-28,23.0,1.0
2011-10-29,10.0,1.0
2011-10-30,16.0,1.0
2011-10-31,18.0,1.0
2011-11-01,17.0,1.0
2011-11-02,24.0,1.0
2011-11-03,24.0,1.0
2011-11-04,22.0,1.0
2011-11-05,11.0,1.0
2011-11-06,13.0,1.0
2011-11-07,20.0,1.0
2011-11-08,21.0,1.0
2011-11-09,20.0,1.0
2011-11-10,21.0,1.0
2011-11-11,17.0,1.0
2011-11-12,14.0,1.0
2011-11-13,18.0,1.0
2011-11-14,26.0,1.0
2011-11-15,28.0,1.0
2011-11-16,30.0,1.0
2011-11-17,27.0,1.0
2011-11-18,23.0,1.0
2011-11-19,14.0,1.0
2011-11-20,13.0,1.0
2011-11-21,24.0,1.0
2011-11-22,24.0,1.0
2011-11-23,19.0,1.0
2011-11-24,21.0,1.0
2011-11-25,17.0,1.0
2011-11-26,12.0,1.0
2011-11-27,12.0,1.0
2011-11-28,23.0,1.0
2011-11-29,20.0,1.0
2011-11-30,22.0,1.0
2011-12-01,22.0,1.0
2011-12-02,21.0,1.0
2011-12-03,11.0,1.0
2011-12-04,12.0,1.0
2011-12-05,19.0,1.0
2011-12-06,13.0,1.0
2011-12-07,18.0,1.0
2011-12-08,13.0,1.0
2011-12-09,17.0,1.0
2011-12-10,12.0,
2011-12-11,13.0,
2011-12-12,20.0,
2011-12-13,22.0,
2011-12-14,23.0,
2011-12-15,19.0,
2011-12-16,15.0,
2011-12-17,13.0,
2011-12-18,10.0,
2011-12-19,16.0,
2011-12-20,20.0,
2011-12-21,16.0,
2011-12-22,16.0,
2011-12-23,15.0,
2011-12-24,7.0,
2011-12-25,4.0,
2011-12-26,11.0,
2011-12-27,9.0,
2011-12-28,9.0,
2011-12-29,15.0,
2011-12-30,8.0,
2011-12-31,9.0,
2012-01-01,8.0,
2012-01-02,12.0,
2012-01-03,15.0,
2012-01-04,9.0,
2012-01-05,12.0,
2012-01-06,6.0,
2012-01-07,9.0,
2012-01-08,10.0,
2012-01-09,21.0,
2012-01-10,19.0,
2012-01-11,16.0,
2012-01-12,18.0,
2012-01-13,20.0,
2012-01-14,9.0,
2012-01-15,14.0,
2012-01-16,16.0,
2012-01-17,20.0,
2012-01-18,17.0,
2012-01-19,19.0,
2012-01-20,25.0,
2012-01-21,12.0,
2012-01-22,14.0,
2012-01-23,20.0,
2012-01-24,14.0,
2012-01-25,20.0,
2012-01-26,17.0,
2012-01-27,20.0,
2012-01-28,10.0,
2012-01-29,12.0,
2012-01-30,18.0,
2012-01-31,17.0,
2012-02-01,17.0,
2012-02-02,19.0,
2012-02-03,17.0,
2012-02-04,10.0,
2012-02-05,12.0,
2012-02-06,16.0,
2012-02-07,20.0,
2012-02-08,17.0,
2012-02-09,18.0,
2012-02-10,21.0,
2012-02-11,12.0,
2012-02-12,11.0,
2012-02-13,18.0,
2012-02-14,19.0,
2012-02-15,24.0,
2012-02-16,19.0,1.0
2012-02-17,19.0,1.0
2012-02-18,14.0,1.0
2012-02-19,17.0,1.0
2012-02-20,20.0,1.0
2012-02-21,18.0,1.0
2012-02-22,16.0,1.0
2012-02-23,20.0,1.0
2012-02-24,18.0,1.0
2012-02-25,12.0,1.0
2012-02-26,14.0,1.0
2012-02-27,20.0,1.0
2012-02-28,19.0,1.0
2012-02-29,18.0,1.0
2012-03-01,22.0,1.0
2012-03-02,16.0,1.0
2012-03-03,13.0,1.0
2012-03-04,17.0,1.0
2012-03-05,21.0,1.0
2012-03-06,17.0,1.0
2012-03-07,19.0,1.0
2012-03-08,18.0,1.0
2012-03-09,16.0,1.0
2012-03-10,12.0,1.0
2012-03-11,15.0,1.0
2012-03-12,15.0,1.0
2012-03-13,17.0,1.0
2012-03-14,17.0,1.0
2012-03-15,22.0,1.0
2012-03-16,17.0,1.0
2012-03-17,10.0,1.0
2012-03-18,11.0,1.0
2012-03-19,18.0,1.0
2012-03-20,19.0,1.0
2012-03-21,15.0,1.0
2012-03-22,19.0,1.0
2012-03-23,14.0,1.0
2012-03-24,10.0,1.0
2012-03-25,9.0,1.0
2012-03-26,18.0,1.0
2012-03-27,16.0,1.0
2012-03-28,14.0,1.0
2012-03-29,15.0,1.0
2012-03-30,14.0,1.0
2012-03-31,11.0,1.0
2012-04-01,7.0,1.0
2012-04-02,15.0,1.0
2012-04-03,21.0,1.0
2012-04-04,14.0,1.0
2012-04-05,14.0,1.0
2012-04-06,9.0,1.0
2012-04-07,7.0,1.0
2012-04-08,8.0,1.0
2012-04-09,11.0,1.0
2012-04-10,17.0,1.0
2012-04-11,18.0,1.0
2012-04-12,16.0,1.0
2012-04-13,15.0,1.0
2012-04-14,12.0,1.0
2012-04-15,13.0,1.0
2012-04-16,23.0,1.0
2012-04-17,19.0,1.0
2012-04-18,21.0,1.0
2012-04-19,19.0,1.0
2012-04-20,19.0,1.0
2012-04-21,11.0,1.0
2012-04-22,10.0,1.0
2012-04-23,19.0,1.0
2012-04-24,20.0,1.0
2012-04-25,22.0,1.0
2012-04-26,17.0,1.0
2012-04-27,16.0,1.0
2012-04-28,12.0,1.0
2012-04-29,11.0,1.0
2012-04-30,15.0,1.0
2012-05-01,16.0,1.0
2012-05-02,18.0,1.0
2012-05-03,20.0,1.0
2012-05-04,18.0,1.0
2012-05-05,12.0,1.0
2012-05-06,12.0,1.0
2012-05-07,19.0,1.0
2012-05-08,22.0,1.0
2012-05-09,19.0,1.0
2012-05-10,18.0,1.0
2012-05-11,16.0,1.0
2012-05-12,11.0,1.0
2012-05-13,15.0,1.0
2012-05-14,20.0,1.0
2012-05-15,18.0,1.0
2012-05-16,18.0,1.0
2012-05-17,18.0,1.0
2012-05-18,18.0,1.0
2012-05-19,12.0,1.0
2012-05-20,13.0,1.0
2012-05-21,22.0,1.0
2012-05-22,23.0,1.0
2012-05-23,21.0,1.0
2012-05-24,21.0,1.0
2012-05-25,23.0,1.0
2012-05-26,10.0,1.0
2012-05-27,11.0,
2012-05-28,15.0,
2012-05-29,21.0,
2012-05-30,21.0,
2012-05-31,23.0,
2012-06-01,16.0,
2012-06-02,12.0,
2012-06-03,9.0,
2012-06-04,16.0,
2012-06-05,18.0,
2012-06-06,16.0,
2012-06-07,17.0,
2012-06-08,14.0,
2012-06-09,9.0,
2012-06-10,11.0,
2012-06-11,17.0,
2012-06-12,19.0,
2012-06-13,19.0,
2012-06-14,16.0,
2012-06-15,13.0,
2012-06-16,8.0,
2012-06-17,8.0,
2012-06-18,14.0,
2012-06-19,15.0,
2012-06-20,16.0,
2012-06-21,11.0,
2012-06-22,13.0,
2012-06-23,5.0,
2012-06-24,8.0,
2012-06-25,12.0,
2012-06-26,12.0,
2012-06-27,13.0,
2012-06-28,11.0,
2012-06-29,7.0,
2012-06-30,6.0,
2012-07-01,9.0,
2012-07-02,11.0,
2012-07-03,13.0,
2012-07-04,12.0,
2012-07-05,11.0,
2012-07-06,8.0,
2012-07-07,7.0,
2012-07-08,7.0,
2012-07-09,9.0,
2012-07-10,11.0,
2012-07-11,8.0,
2012-07-12,9.0,
2012-07-13,13.0,
2012-07-14,6.0,
2012-07-15,8.0,
2012-07-16,16.0,
2012-07-17,13.0,
2012-07-18,13.0,
2012-07-19,11.0,
2012-07-20,11.0,
2012-07-21,7.0,
2012-07-22,9.0,
2012-07-23,17.0,
2012-07-24,14.0,
2012-07-25,19.0,
2012-07-26,18.0,
2012-07-27,38.0,
2012-07-28,62.0,
2012-07-29,36.0,
2012-07-30,33.0,
2012-07-31,35.0,
2012-08-01,33.0,
2012-08-02,29.0,
2012-08-03,25.0,1.0
2012-08-04,30.0,1.0
2012-08-05,34.0,1.0
2012-08-06,27.0,1.0
2012-08-07,31.0,1.0
2012-08-08,27.0,1.0
2012-08-09,34.0,1.0
2012-08-10,32.0,1.0
2012-08-11,56.0,1.0
2012-08-12,63.0,1.0
2012-08-13,55.0,1.0
2012-08-14,25.0,1.0
2012-08-15,18.0,1.0
2012-08-16,16.0,1.0
2012-08-17,16.0,1.0
2012-08-18,12.0,1.0
2012-08-19,12.0,1.0
2012-08-20,11.0,1.0
2012-08-21,13.0,1.0
2012-08-22,13.0,1.0
2012-08-23,12.0,1.0
2012-08-24,9.0,1.0
2012-08-25,8.0,1.0
2012-08-26,8.0,1.0
2012-08-27,13.0,1.0
2012-08-28,9.0,1.0
2012-08-29,13.0,1.0
2012-08-30,11.0,1.0
2012-08-31,9.0,1.0
2012-09-01,8.0,1.0
2012-09-02,8.0,1.0
2012-09-03,17.0,1.0
2012-09-04,12.0,1.0
2012-09-05,17.0,1.0
2012-09-06,13.0,1.0
2012-09-07,15.0,1.0
2012-09-08,12.0,1.0
2012-09-09,10.0,1.0
2012-09-10,13.0,1.0
2012-09-11,16.0,1.0
2012-09-12,22.0,1.0
2012-09-13,21.0,1.0
2012-09-14,19.0,1.0
2012-09-15,15.0,1.0
2012-09-16,10.0,1.0
2012-09-17,19.0,1.0
2012-09-18,21.0,1.0
2012-09-19,20.0,1.0
2012-09-20,22.0,1.0
2012-09-21,22.0,1.0
2012-09-22,11.0,1.0
2012-09-23,13.0,1.0
2012-09-24,18.0,1.0
2012-09-25,19.0,1.0
2012-09-26,19.0,1.0
2012-09-27,20.0,1.0
2012-09-28,15.0,1.0
2012-09-29,12.0,1.0
2012-09-30,11.0,1.0
2012-10-01,18.0,1.0
2012-10-02,19.0,1.0
2012-10-03,19.0,1.0
2012-10-04,23.0,1.0
2012-10-05,18.0,1.0
2012-10-06,14.0,1.0
2012-10-07,14.0,1.0
2012-10-08,21.0,1.0
2012-10-09,21.0,1.0
2012-10-10,20.0,1.0
2012-10-11,19.0,1.0
2012-10-12,13.0,1.0
