date,TITAN,overlap
2010-08-25,23.0,
2010-08-26,26.0,
2010-08-27,25.0,
2010-08-28,25.0,
2010-08-29,25.0,
2010-08-30,25.0,
2010-08-31,24.0,
2010-09-01,22.0,
2010-09-02,22.0,
2010-09-03,23.0,
2010-09-04,26.0,
2010-09-05,25.0,
2010-09-06,22.0,
2010-09-07,23.0,
2010-09-08,22.0,
2010-09-09,22.0,
2010-09-10,22.0,
2010-09-11,23.0,
2010-09-12,25.0,
2010-09-13,22.0,
2010-09-14,22.0,
2010-09-15,23.0,
2010-09-16,24.0,
2010-09-17,22.0,
2010-09-18,28.0,
2010-09-19,25.0,
2010-09-20,24.0,
2010-09-21,23.0,
2010-09-22,22.0,
2010-09-23,23.0,
2010-09-24,24.0,
2010-09-25,25.0,
2010-09-26,26.0,
2010-09-27,23.0,1.0
2010-09-28,21.0,1.0
2010-09-29,24.0,1.0
2010-09-30,20.0,1.0
2010-10-01,22.0,1.0
2010-10-02,26.0,1.0
2010-10-03,21.0,1.0
2010-10-04,23.0,1.0
2010-10-05,21.0,1.0
2010-10-06,20.0,1.0
2010-10-07,21.0,1.0
2010-10-08,21.0,1.0
2010-10-09,25.0,1.0
2010-10-10,28.0,1.0
2010-10-11,23.0,1.0
2010-10-12,23.0,1.0
2010-10-13,23.0,1.0
2010-10-14,22.0,1.0
2010-10-15,25.0,1.0
2010-10-16,27.0,1.0
2010-10-17,23.0,1.0
2010-10-18,23.0,1.0
2010-10-19,21.0,1.0
2010-10-20,21.0,1.0
2010-10-21,21.0,1.0
2010-10-22,22.0,1.0
2010-10-23,27.0,1.0
2010-10-24,25.0,1.0
2010-10-25,23.0,1.0
2010-10-26,24.0,1.0
2010-10-27,24.0,1.0
2010-10-28,23.0,1.0
2010-10-29,24.0,1.0
2010-10-30,27.0,1.0
2010-10-31,25.0,1.0
2010-11-01,24.0,1.0
2010-11-02,23.0,1.0
2010-11-03,22.0,1.0
2010-11-04,24.0,1.0
2010-11-05,22.0,1.0
2010-11-06,26.0,1.0
2010-11-07,23.0,1.0
2010-11-08,23.0,1.0
2010-11-09,22.0,1.0
2010-11-10,21.0,1.0
2010-11-11,23.0,1.0
2010-11-12,24.0,1.0
2010-11-13,24.0,1.0
2010-11-14,26.0,1.0
2010-11-15,27.0,1.0
2010-11-16,25.0,1.0
2010-11-17,21.0,1.0
2010-11-18,22.0,1.0
2010-11-19,22.0,1.0
2010-11-20,27.0,1.0
2010-11-21,24.0,1.0
2010-11-22,22.0,1.0
2010-11-23,21.0,1.0
2010-11-24,22.0,1.0
2010-11-25,22.0,1.0
2010-11-26,20.0,1.0
2010-11-27,24.0,1.0
2010-11-28,25.0,1.0
2010-11-29,20.0,1.0
2010-11-30,24.0,1.0
2010-12-01,28.0,1.0
2010-12-02,26.0,1.0
2010-12-03,23.0,1.0
2010-12-04,26.0,1.0
2010-12-05,24.0,1.0
2010-12-06,22.0,1.0
2010-12-07,23.0,1.0
2010-12-08,22.0,1.0
2010-12-09,22.0,1.0
2010-12-10,21.0,1.0
2010-12-11,24.0,1.0
2010-12-12,23.0,1.0
2010-12-13,22.0,1.0
2010-12-14,22.0,1.0
2010-12-15,20.0,1.0
2010-12-16,20.0,1.0
2010-12-17,22.0,1.0
2010-12-18,25.0,1.0
2010-12-19,26.0,1.0
2010-12-20,24.0,1.0
2010-12-21,24.0,1.0
2010-12-22,24.0,1.0
2010-12-23,23.0,1.0
2010-12-24,24.0,1.0
2010-12-25,23.0,1.0
2010-12-26,25.0,1.0
2010-12-27,24.0,1.0
2010-12-28,25.0,1.0
2010-12-29,25.0,1.0
2010-12-30,24.0,1.0
2010-12-31,22.0,1.0
2011-01-01,25.0,1.0
2011-01-02,25.0,1.0
2011-01-03,25.0,1.0
2011-01-04,24.0,1.0
2011-01-05,23.0,1.0
2011-01-06,21.0,
2011-01-07,21.0,
2011-01-08,25.0,
2011-01-09,23.0,
2011-01-10,23.0,
2011-01-11,22.0,
2011-01-12,22.0,
2011-01-13,22.0,
2011-01-14,22.0,
2011-01-15,23.0,
2011-01-16,24.0,
2011-01-17,23.0,
2011-01-18,23.0,
2011-01-19,23.0,
2011-01-20,22.0,
2011-01-21,23.0,
2011-01-22,23.0,
2011-01-23,25.0,
2011-01-24,22.0,
2011-01-25,23.0,
2011-01-26,23.0,
2011-01-27,22.0,
2011-01-28,23.0,
2011-01-29,29.0,
2011-01-30,25.0,
2011-01-31,23.0,
2011-02-01,21.0,
2011-02-02,23.0,
2011-02-03,24.0,
2011-02-04,23.0,
2011-02-05,24.0,
2011-02-06,25.0,
2011-02-07,22.0,
2011-02-08,23.0,
2011-02-09,24.0,
2011-02-10,23.0,
2011-02-11,25.0,
2011-02-12,25.0,
2011-02-13,25.0,
2011-02-14,23.0,
2011-02-15,24.0,
2011-02-16,21.0,
2011-02-17,22.0,
2011-02-18,23.0,
2011-02-19,24.0,
2011-02-20,24.0,
2011-02-21,22.0,
2011-02-22,22.0,
2011-02-23,23.0,
2011-02-24,22.0,
2011-02-25,22.0,
2011-02-26,23.0,
2011-02-27,25.0,
2011-02-28,21.0,
2011-03-01,22.0,
2011-03-02,20.0,
2011-03-03,22.0,
2011-03-04,21.0,
2011-03-05,21.0,
2011-03-06,21.0,
2011-03-07,22.0,
2011-03-08,22.0,
2011-03-09,24.0,
2011-03-10,23.0,
2011-03-11,21.0,
2011-03-12,22.0,
2011-03-13,20.0,
2011-03-14,22.0,
2011-03-15,20.0,1.0
2011-03-16,22.0,1.0
2011-03-17,22.0,1.0
2011-03-18,22.0,1.0
2011-03-19,22.0,1.0
2011-03-20,20.0,1.0
2011-03-21,22.0,1.0
2011-03-22,23.0,1.0
2011-03-23,21.0,1.0
2011-03-24,21.0,1.0
2011-03-25,23.0,1.0
2011-03-26,25.0,1.0
2011-03-27,21.0,1.0
2011-03-28,22.0,1.0
2011-03-29,21.0,1.0
2011-03-30,21.0,1.0
2011-03-31,23.0,1.0
2011-04-01,21.0,1.0
2011-04-02,24.0,1.0
2011-04-03,22.0,1.0
2011-04-04,22.0,1.0
2011-04-05,21.0,1.0
2011-04-06,20.0,1.0
2011-04-07,21.0,1.0
2011-04-08,21.0,1.0
2011-04-09,24.0,1.0
2011-04-10,24.0,1.0
2011-04-11,21.0,1.0
2011-04-12,22.0,1.0
2011-04-13,21.0,1.0
2011-04-14,20.0,1.0
2011-04-15,20.0,1.0
2011-04-16,24.0,1.0
2011-04-17,22.0,1.0
2011-04-18,22.0,1.0
2011-04-19,21.0,1.0
2011-04-20,22.0,1.0
2011-04-21,22.0,1.0
2011-04-22,22.0,1.0
2011-04-23,26.0,1.0
2011-04-24,23.0,1.0
2011-04-25,25.0,1.0
2011-04-26,22.0,1.0
2011-04-27,22.0,1.0
2011-04-28,22.0,1.0
2011-04-29,21.0,1.0
2011-04-30,22.0,1.0
2011-05-01,22.0,1.0
2011-05-02,22.0,1.0
2011-05-03,22.0,1.0
2011-05-04,23.0,1.0
2011-05-05,22.0,1.0
2011-05-06,21.0,1.0
2011-05-07,22.0,1.0
2011-05-08,23.0,1.0
2011-05-09,24.0,1.0
2011-05-10,23.0,1.0
2011-05-11,24.0,1.0
2011-05-12,25.0,1.0
2011-05-13,22.0,1.0
2011-05-14,25.0,1.0
2011-05-15,23.0,1.0
2011-05-16,21.0,1.0
2011-05-17,23.0,1.0
2011-05-18,21.0,1.0
2011-05-19,22.0,1.0
2011-05-20,22.0,1.0
2011-05-21,21.0,1.0
2011-05-22,20.0,1.0
2011-05-23,21.0,1.0
2011-05-24,21.0,1.0
2011-05-25,21.0,1.0
2011-05-26,22.0,1.0
2011-05-27,20.0,1.0
2011-05-28,23.0,1.0
2011-05-29,21.0,1.0
2011-05-30,21.0,1.0
2011-05-31,22.0,1.0
2011-06-01,20.0,1.0
2011-06-02,21.0,1.0
2011-06-03,20.0,1.0
2011-06-04,23.0,1.0
2011-06-05,22.0,1.0
2011-06-06,20.0,1.0
2011-06-07,21.0,1.0
2011-06-08,20.0,1.0
2011-06-09,21.0,1.0
2011-06-10,20.0,1.0
2011-06-11,22.0,1.0
2011-06-12,24.0,1.0
2011-06-13,24.0,1.0
2011-06-14,22.0,1.0
2011-06-15,21.0,1.0
2011-06-16,22.0,1.0
2011-06-17,23.0,1.0
2011-06-18,23.0,1.0
2011-06-19,23.0,1.0
2011-06-20,22.0,1.0
2011-06-21,22.0,1.0
2011-06-22,21.0,1.0
2011-06-23,23.0,1.0
2011-06-24,22.0,
2011-06-25,24.0,
2011-06-26,24.0,
2011-06-27,22.0,
2011-06-28,23.0,
2011-06-29,21.0,
2011-06-30,21.0,
2011-07-01,23.0,
2011-07-02,27.0,
2011-07-03,24.0,
2011-07-04,23.0,
2011-07-05,22.0,
2011-07-06,22.0,
2011-07-07,23.0,
2011-07-08,24.0,
2011-07-09,23.0,
2011-07-10,25.0,
2011-07-11,23.0,
2011-07-12,24.0,
2011-07-13,23.0,
2011-07-14,23.0,
2011-07-15,21.0,
2011-07-16,21.0,
2011-07-17,24.0,
2011-07-18,24.0,
2011-07-19,24.0,
2011-07-20,23.0,
2011-07-21,24.0,
2011-07-22,23.0,
2011-07-23,22.0,
2011-07-24,25.0,
2011-07-25,24.0,
2011-07-26,23.0,
2011-07-27,25.0,
2011-07-28,23.0,
2011-07-29,24.0,
2011-07-30,24.0,
2011-07-31,22.0,
2011-08-01,22.0,
2011-08-02,24.0,
2011-08-03,23.0,
2011-08-04,25.0,
2011-08-05,24.0,
2011-08-06,25.0,
2011-08-07,24.0,
2011-08-08,24.0,
2011-08-09,23.0,
2011-08-10,24.0,
2011-08-11,24.0,
2011-08-12,22.0,
2011-08-13,26.0,
2011-08-14,26.0,
2011-08-15,22.0,
2011-08-16,24.0,
2011-08-17,23.0,
2011-08-18,23.0,
2011-08-19,24.0,
2011-08-20,24.0,
2011-08-21,22.0,
2011-08-22,24.0,
2011-08-23,23.0,
2011-08-24,21.0,
2011-08-25,20.0,
2011-08-26,20.0,
2011-08-27,23.0,
2011-08-28,25.0,
2011-08-29,24.0,
2011-08-30,23.0,
2011-08-31,23.0,1.0
2011-09-01,26.0,1.0
2011-09-02,27.0,1.0
2011-09-03,26.0,1.0
2011-09-04,25.0,1.0
2011-09-05,22.0,1.0
2011-09-06,25.0,1.0
2011-09-07,24.0,1.0
2011-09-08,24.0,1.0
2011-09-09,24.0,1.0
2011-09-10,24.0,1.0
2011-09-11,24.0,1.0
2011-09-12,23.0,1.0
2011-09-13,23.0,1.0
2011-09-14,23.0,1.0
2011-09-15,24.0,1.0
2011-09-16,23.0,1.0
2011-09-17,25.0,1.0
2011-09-18,23.0,1.0
2011-09-19,23.0,1.0
2011-09-20,21.0,1.0
2011-09-21,22.0,1.0
2011-09-22,21.0,1.0
2011-09-23,21.0,1.0
2011-09-24,21.0,1.0
2011-09-25,23.0,1.0
2011-09-26,22.0,1.0
2011-09-27,21.0,1.0
2011-09-28,23.0,1.0
2011-09-29,24.0,1.0
2011-09-30,23.0,1.0
2011-10-01,25.0,1.0
2011-10-02,23.0,1.0
2011-10-03,22.0,1.0
2011-10-04,25.0,1.0
2011-10-05,26.0,1.0
2011-10-06,22.0,1.0
2011-10-07,23.0,1.0
2011-10-08,23.0,1.0
2011-10-09,23.0,1.0
2011-10-10,24.0,1.0
2011-10-11,26.0,1.0
2011-10-12,28.0,1.0
2011-10-13,25.0,1.0
2011-10-14,24.0,1.0
2011-10-15,26.0,1.0
2011-10-16,25.0,1.0
2011-10-17,25.0,1.0
2011-10-18,24.0,1.0
2011-10-19,26.0,1.0
2011-10-20,25.0,1.0
2011-10-21,26.0,1.0
2011-10-22,26.0,1.0
2011-10-23,25.0,1.0
2011-10-24,24.0,1.0
2011-10-25,23.0,1.0
2011-10-26,24.0,1.0
2011-10-27,23.0,1.0
2011-10-28,25.0,1.0
2011-10-29,25.0,1.0
2011-10-30,23.0,1.0
2011-10-31,23.0,1.0
2011-11-01,25.0,1.0
2011-11-02,23.0,1.0
2011-11-03,22.0,1.0
2011-11-04,19.0,1.0
2011-11-05,25.0,1.0
2011-11-06,22.0,1.0
2011-11-07,24.0,1.0
2011-11-08,22.0,1.0
2011-11-09,22.0,1.0
2011-11-10,23.0,1.0
2011-11-11,23.0,1.0
2011-11-12,23.0,1.0
2011-11-13,22.0,1.0
2011-11-14,22.0,1.0
2011-11-15,21.0,1.0
2011-11-16,21.0,1.0
2011-11-17,22.0,1.0
2011-11-18,21.0,1.0
2011-11-19,22.0,1.0
2011-11-20,24.0,1.0
2011-11-21,21.0,1.0
2011-11-22,24.0,1.0
2011-11-23,21.0,1.0
2011-11-24,22.0,1.0
2011-11-25,21.0,1.0
2011-11-26,22.0,1.0
2011-11-27,23.0,1.0
2011-11-28,23.0,1.0
2011-11-29,22.0,1.0
2011-11-30,22.0,1.0
2011-12-01,21.0,1.0
2011-12-02,22.0,1.0
2011-12-03,23.0,1.0
2011-12-04,22.0,1.0
2011-12-05,23.0,1.0
2011-12-06,24.0,1.0
2011-12-07,22.0,1.0
2011-12-08,22.0,1.0
2011-12-09,24.0,1.0
2011-12-10,25.0,
2011-12-11,23.0,
2011-12-12,25.0,
2011-12-13,21.0,
2011-12-14,23.0,
2011-12-15,22.0,
2011-12-16,21.0,
2011-12-17,23.0,
2011-12-18,22.0,
2011-12-19,23.0,
2011-12-20,25.0,
2011-12-21,21.0,
2011-12-22,22.0,
2011-12-23,21.0,
2011-12-24,22.0,
2011-12-25,23.0,
2011-12-26,22.0,
2011-12-27,24.0,
2011-12-28,22.0,
2011-12-29,24.0,
2011-12-30,23.0,
2011-12-31,22.0,
2012-01-01,21.0,
2012-01-02,23.0,
2012-01-03,20.0,
2012-01-04,23.0,
2012-01-05,23.0,
2012-01-06,22.0,
2012-01-07,23.0,
2012-01-08,22.0,
2012-01-09,25.0,
2012-01-10,24.0,
2012-01-11,26.0,
2012-01-12,25.0,
2012-01-13,24.0,
2012-01-14,24.0,
2012-01-15,22.0,
2012-01-16,25.0,
2012-01-17,24.0,
2012-01-18,22.0,
2012-01-19,23.0,
2012-01-20,22.0,
2012-01-21,23.0,
2012-01-22,23.0,
2012-01-23,23.0,
2012-01-24,23.0,
2012-01-25,23.0,
2012-01-26,26.0,
2012-01-27,25.0,
2012-01-28,26.0,
2012-01-29,23.0,
2012-01-30,26.0,
2012-01-31,21.0,
2012-02-01,23.0,
2012-02-02,21.0,
2012-02-03,22.0,
2012-02-04,23.0,
2012-02-05,24.0,
2012-02-06,23.0,
2012-02-07,24.0,
2012-02-08,23.0,
2012-02-09,25.0,
2012-02-10,24.0,
2012-02-11,22.0,
2012-02-12,21.0,
2012-02-13,23.0,
2012-02-14,22.0,
2012-02-15,23.0,
2012-02-16,22.0,1.0
2012-02-17,22.0,1.0
2012-02-18,23.0,1.0
2012-02-19,23.0,1.0
2012-02-20,22.0,1.0
2012-02-21,23.0,1.0
2012-02-22,21.0,1.0
2012-02-23,23.0,1.0
2012-02-24,25.0,1.0
2012-02-25,20.0,1.0
2012-02-26,21.0,1.0
2012-02-27,22.0,1.0
2012-02-28,21.0,1.0
2012-02-29,20.0,1.0
2012-03-01,23.0,1.0
2012-03-02,22.0,1.0
2012-03-03,25.0,1.0
2012-03-04,22.0,1.0
2012-03-05,21.0,1.0
2012-03-06,25.0,1.0
2012-03-07,21.0,1.0
2012-03-08,22.0,1.0
2012-03-09,22.0,1.0
2012-03-10,23.0,1.0
2012-03-11,21.0,1.0
2012-03-12,22.0,1.0
2012-03-13,20.0,1.0
2012-03-14,22.0,1.0
2012-03-15,21.0,1.0
2012-03-16,23.0,1.0
2012-03-17,24.0,1.0
2012-03-18,24.0,1.0
2012-03-19,21.0,1.0
2012-03-20,21.0,1.0
2012-03-21,23.0,1.0
2012-03-22,23.0,1.0
2012-03-23,24.0,1.0
2012-03-24,25.0,1.0
2012-03-25,24.0,1.0
2012-03-26,22.0,1.0
2012-03-27,25.0,1.0
2012-03-28,25.0,1.0
2012-03-29,25.0,1.0
2012-03-30,26.0,1.0
2012-03-31,25.0,1.0
2012-04-01,26.0,1.0
2012-04-02,25.0,1.0
2012-04-03,25.0,1.0
2012-04-04,25.0,1.0
2012-04-05,25.0,1.0
2012-04-06,26.0,1.0
2012-04-07,24.0,1.0
2012-04-08,26.0,1.0
2012-04-09,28.0,1.0
2012-04-10,25.0,1.0
2012-04-11,23.0,1.0
2012-04-12,23.0,1.0
2012-04-13,26.0,1.0
2012-04-14,27.0,1.0
2012-04-15,26.0,1.0
2012-04-16,23.0,1.0
2012-04-17,23.0,1.0
2012-04-18,23.0,1.0
2012-04-19,24.0,1.0
2012-04-20,24.0,1.0
2012-04-21,25.0,1.0
2012-04-22,26.0,1.0
2012-04-23,25.0,1.0
2012-04-24,22.0,1.0
2012-04-25,22.0,1.0
2012-04-26,24.0,1.0
2012-04-27,23.0,1.0
2012-04-28,24.0,1.0
2012-04-29,23.0,1.0
2012-04-30,25.0,1.0
2012-05-01,26.0,1.0
2012-05-02,24.0,1.0
2012-05-03,24.0,1.0
2012-05-04,26.0,1.0
2012-05-05,26.0,1.0
2012-05-06,23.0,1.0
2012-05-07,25.0,1.0
2012-05-08,24.0,1.0
2012-05-09,21.0,1.0
2012-05-10,23.0,1.0
2012-05-11,22.0,1.0
2012-05-12,21.0,1.0
2012-05-13,23.0,1.0
2012-05-14,21.0,1.0
2012-05-15,23.0,1.0
2012-05-16,23.0,1.0
2012-05-17,23.0,1.0
2012-05-18,25.0,1.0
2012-05-19,23.0,1.0
2012-05-20,23.0,1.0
2012-05-21,24.0,1.0
2012-05-22,23.0,1.0
2012-05-23,23.0,1.0
2012-05-24,23.0,1.0
2012-05-25,23.0,1.0
2012-05-26,24.0,1.0
2012-05-27,22.0,
2012-05-28,24.0,
2012-05-29,22.0,
2012-05-30,23.0,
2012-05-31,22.0,
2012-06-01,21.0,
2012-06-02,23.0,
2012-06-03,23.0,
2012-06-04,22.0,
2012-06-05,20.0,
2012-06-06,22.0,
2012-06-07,23.0,
2012-06-08,21.0,
2012-06-09,25.0,
2012-06-10,23.0,
2012-06-11,19.0,
2012-06-12,24.0,
2012-06-13,23.0,
2012-06-14,23.0,
2012-06-15,24.0,
2012-06-16,25.0,
2012-06-17,24.0,
2012-06-18,21.0,
2012-06-19,22.0,
2012-06-20,20.0,
2012-06-21,23.0,
2012-06-22,23.0,
2012-06-23,20.0,
2012-06-24,24.0,
2012-06-25,21.0,
2012-06-26,23.0,
2012-06-27,22.0,
2012-06-28,24.0,
2012-06-29,22.0,
2012-06-30,23.0,
2012-07-01,23.0,
2012-07-02,24.0,
2012-07-03,23.0,
2012-07-04,21.0,
2012-07-05,21.0,
2012-07-06,24.0,
2012-07-07,23.0,
2012-07-08,22.0,
2012-07-09,21.0,
2012-07-10,24.0,
2012-07-11,23.0,
2012-07-12,26.0,
2012-07-13,25.0,
2012-07-14,26.0,
2012-07-15,24.0,
2012-07-16,23.0,
2012-07-17,23.0,
2012-07-18,23.0,
2012-07-19,25.0,
2012-07-20,22.0,
2012-07-21,22.0,
2012-07-22,26.0,
2012-07-23,23.0,
2012-07-24,22.0,
2012-07-25,24.0,
2012-07-26,23.0,
2012-07-27,24.0,
2012-07-28,27.0,
2012-07-29,25.0,
2012-07-30,23.0,
2012-07-31,24.0,
2012-08-01,21.0,
2012-08-02,23.0,
2012-08-03,24.0,1.0
2012-08-04,24.0,1.0
2012-08-05,26.0,1.0
2012-08-06,25.0,1.0
2012-08-07,24.0,1.0
2012-08-08,24.0,1.0
2012-08-09,24.0,1.0
2012-08-10,20.0,1.0
2012-08-11,23.0,1.0
2012-08-12,23.0,1.0
2012-08-13,24.0,1.0
2012-08-14,22.0,1.0
2012-08-15,23.0,1.0
2012-08-16,22.0,1.0
2012-08-17,23.0,1.0
2012-08-18,26.0,1.0
2012-08-19,23.0,1.0
2012-08-20,23.0,1.0
2012-08-21,22.0,1.0
2012-08-22,23.0,1.0
2012-08-23,22.0,1.0
2012-08-24,24.0,1.0
2012-08-25,27.0,1.0
2012-08-26,21.0,1.0
2012-08-27,23.0,1.0
2012-08-28,22.0,1.0
2012-08-29,23.0,1.0
2012-08-30,21.0,1.0
2012-08-31,20.0,1.0
2012-09-01,23.0,1.0
2012-09-02,24.0,1.0
2012-09-03,22.0,1.0
2012-09-04,20.0,1.0
2012-09-05,21.0,1.0
2012-09-06,23.0,1.0
2012-09-07,22.0,1.0
2012-09-08,23.0,1.0
2012-09-09,25.0,1.0
2012-09-10,22.0,1.0
2012-09-11,22.0,1.0
2012-09-12,23.0,1.0
2012-09-13,19.0,1.0
2012-09-14,21.0,1.0
2012-09-15,24.0,1.0
2012-09-16,23.0,1.0
2012-09-17,23.0,1.0
2012-09-18,22.0,1.0
2012-09-19,23.0,1.0
2012-09-20,20.0,1.0
2012-09-21,21.0,1.0
2012-09-22,23.0,1.0
2012-09-23,21.0,1.0
2012-09-24,21.0,1.0
2012-09-25,21.0,1.0
2012-09-26,23.0,1.0
2012-09-27,20.0,1.0
2012-09-28,22.0,1.0
2012-09-29,21.0,1.0
2012-09-30,21.0,1.0
2012-10-01,21.0,1.0
2012-10-02,21.0,1.0
2012-10-03,20.0,1.0
2012-10-04,21.0,1.0
2012-10-05,22.0,1.0
2012-10-06,22.0,1.0
2012-10-07,23.0,1.0
2012-10-08,21.0,1.0
2012-10-09,21.0,1.0
2012-10-10,21.0,1.0
2012-10-11,21.0,1.0
2012-10-12,21.0,1.0
