date,WIPRO,overlap
2010-08-25,20.0,
2010-08-26,22.0,
2010-08-27,21.0,
2010-08-28,15.0,
2010-08-29,15.0,
2010-08-30,20.0,
2010-08-31,22.0,
2010-09-01,19.0,
2010-09-02,20.0,
2010-09-03,24.0,
2010-09-04,16.0,
2010-09-05,11.0,
2010-09-06,18.0,
2010-09-07,19.0,
2010-09-08,18.0,
2010-09-09,19.0,
2010-09-10,12.0,
2010-09-11,10.0,
2010-09-12,8.0,
2010-09-13,18.0,
2010-09-14,19.0,
2010-09-15,22.0,
2010-09-16,16.0,
2010-09-17,19.0,
2010-09-18,21.0,
2010-09-19,11.0,
2010-09-20,20.0,
2010-09-21,22.0,
2010-09-22,34.0,
2010-09-23,35.0,
2010-09-24,33.0,
2010-09-25,23.0,
2010-09-26,21.0,
2010-09-27,30.0,1.0
2010-09-28,20.0,1.0
2010-09-29,21.0,1.0
2010-09-30,21.0,1.0
2010-10-01,21.0,1.0
2010-10-02,13.0,1.0
2010-10-03,16.0,1.0
2010-10-04,24.0,1.0
2010-10-05,25.0,1.0
2010-10-06,27.0,1.0
2010-10-07,26.0,1.0
2010-10-08,29.0,1.0
2010-10-09,17.0,1.0
2010-10-10,11.0,1.0
2010-10-11,24.0,1.0
2010-10-12,24.0,1.0
2010-10-13,23.0,1.0
2010-10-14,20.0,1.0
2010-10-15,21.0,1.0
2010-10-16,14.0,1.0
2010-10-17,11.0,1.0
2010-10-18,23.0,1.0
2010-10-19,22.0,1.0
2010-10-20,22.0,1.0
2010-10-21,25.0,1.0
2010-10-22,27.0,1.0
2010-10-23,18.0,1.0
2010-10-24,15.0,1.0
2010-10-25,26.0,1.0
2010-10-26,23.0,1.0
2010-10-27,19.0,1.0
2010-10-28,21.0,1.0
2010-10-29,15.0,1.0
2010-10-30,13.0,1.0
2010-10-31,13.0,1.0
2010-11-01,16.0,1.0
2010-11-02,16.0,1.0
2010-11-03,11.0,1.0
2010-11-04,13.0,1.0
2010-11-05,8.0,1.0
2010-11-06,11.0,1.0
2010-11-07,6.0,1.0
2010-11-08,18.0,1.0
2010-11-09,20.0,1.0
2010-11-10,17.0,1.0
2010-11-11,18.0,1.0
2010-11-12,21.0,1.0
2010-11-13,14.0,1.0
2010-11-14,13.0,1.0
2010-11-15,16.0,1.0
2010-11-16,20.0,1.0
2010-11-17,18.0,1.0
2010-11-18,21.0,1.0
2010-11-19,18.0,1.0
2010-11-20,16.0,1.0
2010-11-21,11.0,1.0
2010-11-22,21.0,1.0
2010-11-23,18.0,1.0
2010-11-24,18.0,1.0
2010-11-25,20.0,1.0
2010-11-26,21.0,1.0
2010-11-27,15.0,1.0
2010-11-28,12.0,1.0
2010-11-29,23.0,1.0
2010-11-30,17.0,1.0
2010-12-01,22.0,1.0
2010-12-02,23.0,1.0
2010-12-03,19.0,1.0
2010-12-04,18.0,1.0
2010-12-05,15.0,1.0
2010-12-06,22.0,1.0
2010-12-07,21.0,1.0
2010-12-08,25.0,1.0
2010-12-09,22.0,1.0
2010-12-10,22.0,1.0
2010-12-11,17.0,1.0
2010-12-12,14.0,1.0
2010-12-13,19.0,1.0
2010-12-14,21.0,1.0
2010-12-15,20.0,1.0
2010-12-16,20.0,1.0
2010-12-17,19.0,1.0
2010-12-18,16.0,1.0
2010-12-19,14.0,1.0
2010-12-20,19.0,1.0
2010-12-21,18.0,1.0
2010-12-22,20.0,1.0
2010-12-23,20.0,1.0
2010-12-24,17.0,1.0
2010-12-25,14.0,1.0
2010-12-26,14.0,1.0
2010-12-27,15.0,1.0
2010-12-28,19.0,1.0
2010-12-29,24.0,1.0
2010-12-30,17.0,1.0
2010-12-31,20.0,1.0
2011-01-01,14.0,1.0
2011-01-02,11.0,1.0
2011-01-03,21.0,1.0
2011-01-04,22.0,1.0
2011-01-05,29.0,1.0
2011-01-06,29.0,
2011-01-07,26.0,
2011-01-08,23.0,
2011-01-09,19.0,
2011-01-10,24.0,
2011-01-11,22.0,
2011-01-12,21.0,
2011-01-13,26.0,
2011-01-14,17.0,
2011-01-15,19.0,
2011-01-16,11.0,
2011-01-17,22.0,
2011-01-18,28.0,
2011-01-19,29.0,
2011-01-20,29.0,
2011-01-21,52.0,
2011-01-22,31.0,
2011-01-23,22.0,
2011-01-24,28.0,
2011-01-25,31.0,
2011-01-26,24.0,
2011-01-27,32.0,
2011-01-28,22.0,
2011-01-29,25.0,
2011-01-30,23.0,
2011-01-31,23.0,
2011-02-01,24.0,
2011-02-02,23.0,
2011-02-03,29.0,
2011-02-04,25.0,
2011-02-05,21.0,
2011-02-06,15.0,
2011-02-07,33.0,
2011-02-08,25.0,
2011-02-09,28.0,
2011-02-10,31.0,
2011-02-11,23.0,
2011-02-12,20.0,
2011-02-13,14.0,
2011-02-14,22.0,
2011-02-15,28.0,
2011-02-16,29.0,
2011-02-17,23.0,
2011-02-18,22.0,
2011-02-19,19.0,
2011-02-20,16.0,
2011-02-21,22.0,
2011-02-22,25.0,
2011-02-23,21.0,
2011-02-24,24.0,
2011-02-25,25.0,
2011-02-26,24.0,
2011-02-27,16.0,
2011-02-28,22.0,
2011-03-01,22.0,
2011-03-02,27.0,
2011-03-03,20.0,
2011-03-04,24.0,
2011-03-05,20.0,
2011-03-06,13.0,
2011-03-07,20.0,
2011-03-08,23.0,
2011-03-09,24.0,
2011-03-10,19.0,
2011-03-11,20.0,
2011-03-12,15.0,
2011-03-13,13.0,
2011-03-14,23.0,
2011-03-15,21.0,1.0
2011-03-16,21.0,1.0
2011-03-17,22.0,1.0
2011-03-18,19.0,1.0
2011-03-19,14.0,1.0
2011-03-20,11.0,1.0
2011-03-21,22.0,1.0
2011-03-22,24.0,1.0
2011-03-23,20.0,1.0
2011-03-24,18.0,1.0
2011-03-25,27.0,1.0
2011-03-26,21.0,1.0
2011-03-27,18.0,1.0
2011-03-28,26.0,1.0
2011-03-29,21.0,1.0
2011-03-30,14.0,1.0
2011-03-31,24.0,1.0
2011-04-01,23.0,1.0
2011-04-02,13.0,1.0
2011-04-03,11.0,1.0
2011-04-04,19.0,1.0
2011-04-05,21.0,1.0
2011-04-06,21.0,1.0
2011-04-07,19.0,1.0
2011-04-08,17.0,1.0
2011-04-09,16.0,1.0
2011-04-10,12.0,1.0
2011-04-11,18.0,1.0
2011-04-12,23.0,1.0
2011-04-13,19.0,1.0
2011-04-14,19.0,1.0
2011-04-15,20.0,1.0
2011-04-16,17.0,1.0
2011-04-17,14.0,1.0
2011-04-18,22.0,1.0
2011-04-19,22.0,1.0
2011-04-20,21.0,1.0
2011-04-21,18.0,1.0
2011-04-22,16.0,1.0
2011-04-23,16.0,1.0
2011-04-24,13.0,1.0
2011-04-25,22.0,1.0
2011-04-26,21.0,1.0
2011-04-27,33.0,1.0
2011-04-28,19.0,1.0
2011-04-29,20.0,1.0
2011-04-30,17.0,1.0
2011-05-01,18.0,1.0
2011-05-02,24.0,1.0
2011-05-03,20.0,1.0
2011-05-04,22.0,1.0
2011-05-05,19.0,1.0
2011-05-06,19.0,1.0
2011-05-07,13.0,1.0
2011-05-08,10.0,1.0
2011-05-09,18.0,1.0
2011-05-10,21.0,1.0
2011-05-11,17.0,1.0
2011-05-12,19.0,1.0
2011-05-13,19.0,1.0
2011-05-14,13.0,1.0
2011-05-15,12.0,1.0
2011-05-16,18.0,1.0
2011-05-17,19.0,1.0
2011-05-18,22.0,1.0
2011-05-19,19.0,1.0
2011-05-20,19.0,1.0
2011-05-21,15.0,1.0
2011-05-22,12.0,1.0
2011-05-23,18.0,1.0
2011-05-24,20.0,1.0
2011-05-25,19.0,1.0
2011-05-26,20.0,1.0
2011-05-27,17.0,1.0
2011-05-28,16.0,1.0
2011-05-29,14.0,1.0
2011-05-30,20.0,1.0
2011-05-31,18.0,1.0
2011-06-01,20.0,1.0
2011-06-02,23.0,1.0
2011-06-03,20.0,1.0
2011-06-04,14.0,1.0
2011-06-05,14.0,1.0
2011-06-06,21.0,1.0
2011-06-07,23.0,1.0
2011-06-08,22.0,1.0
2011-06-09,24.0,1.0
2011-06-10,22.0,1.0
2011-06-11,15.0,1.0
2011-06-12,12.0,1.0
2011-06-13,28.0,1.0
2011-06-14,18.0,1.0
2011-06-15,23.0,1.0
2011-06-16,22.0,1.0
2011-06-17,23.0,1.0
2011-06-18,16.0,1.0
2011-06-19,15.0,1.0
2011-06-20,22.0,1.0
2011-06-21,24.0,1.0
2011-06-22,21.0,1.0
2011-06-23,21.0,1.0
2011-06-24,21.0,
2011-06-25,14.0,
2011-06-26,16.0,
2011-06-27,27.0,
2011-06-28,25.0,
2011-06-29,20.0,
2011-06-30,18.0,
2011-07-01,28.0,
2011-07-02,19.0,
2011-07-03,17.0,
2011-07-04,23.0,
2011-07-05,24.0,
2011-07-06,24.0,
2011-07-07,26.0,
2011-07-08,17.0,
2011-07-09,15.0,
2011-07-10,14.0,
2011-07-11,20.0,
2011-07-12,26.0,
2011-07-13,23.0,
2011-07-14,25.0,
2011-07-15,18.0,
2011-07-16,23.0,
2011-07-17,17.0,
2011-07-18,24.0,
2011-07-19,22.0,
2011-07-20,29.0,
2011-07-21,27.0,
2011-07-22,23.0,
2011-07-23,19.0,
2011-07-24,14.0,
2011-07-25,22.0,
2011-07-26,23.0,
2011-07-27,24.0,
2011-07-28,27.0,
2011-07-29,21.0,
2011-07-30,18.0,
2011-07-31,18.0,
2011-08-01,23.0,
2011-08-02,26.0,
2011-08-03,24.0,
2011-08-04,33.0,
2011-08-05,22.0,
2011-08-06,15.0,
2011-08-07,17.0,
2011-08-08,30.0,
2011-08-09,25.0,
2011-08-10,19.0,
2011-08-11,24.0,
2011-08-12,21.0,
2011-08-13,18.0,
2011-08-14,19.0,
2011-08-15,17.0,
2011-08-16,22.0,
2011-08-17,22.0,
2011-08-18,26.0,
2011-08-19,21.0,
2011-08-20,21.0,
2011-08-21,17.0,
2011-08-22,20.0,
2011-08-23,22.0,
2011-08-24,21.0,
2011-08-25,24.0,
2011-08-26,27.0,
2011-08-27,21.0,
2011-08-28,20.0,
2011-08-29,25.0,
2011-08-30,21.0,
2011-08-31,17.0,1.0
2011-09-01,16.0,1.0
2011-09-02,20.0,1.0
2011-09-03,18.0,1.0
2011-09-04,12.0,1.0
2011-09-05,24.0,1.0
2011-09-06,26.0,1.0
2011-09-07,28.0,1.0
2011-09-08,27.0,1.0
2011-09-09,20.0,1.0
2011-09-10,18.0,1.0
2011-09-11,18.0,1.0
2011-09-12,22.0,1.0
2011-09-13,27.0,1.0
2011-09-14,28.0,1.0
2011-09-15,30.0,1.0
2011-09-16,27.0,1.0
2011-09-17,26.0,1.0
2011-09-18,19.0,1.0
2011-09-19,30.0,1.0
2011-09-20,33.0,1.0
2011-09-21,27.0,1.0
2011-09-22,30.0,1.0
2011-09-23,27.0,1.0
2011-09-24,22.0,1.0
2011-09-25,16.0,1.0
2011-09-26,26.0,1.0
2011-09-27,22.0,1.0
2011-09-28,25.0,1.0
2011-09-29,24.0,1.0
2011-09-30,25.0,1.0
2011-10-01,17.0,1.0
2011-10-02,18.0,1.0
2011-10-03,23.0,1.0
2011-10-04,20.0,1.0
2011-10-05,19.0,1.0
2011-10-06,14.0,1.0
2011-10-07,19.0,1.0
2011-10-08,16.0,1.0
2011-10-09,13.0,1.0
2011-10-10,19.0,1.0
2011-10-11,20.0,1.0
2011-10-12,23.0,1.0
2011-10-13,21.0,1.0
2011-10-14,19.0,1.0
2011-10-15,18.0,1.0
2011-10-16,15.0,1.0
2011-10-17,24.0,1.0
2011-10-18,20.0,1.0
2011-10-19,21.0,1.0
2011-10-20,18.0,1.0
2011-10-21,16.0,1.0
2011-10-22,16.0,1.0
2011-10-23,14.0,1.0
2011-10-24,17.0,1.0
2011-10-25,15.0,1.0
2011-10-26,11.0,1.0
2011-10-27,14.0,1.0
2011-10-28,16.0,1.0
2011-10-29,15.0,1.0
2011-10-30,14.0,1.0
2011-10-31,21.0,1.0
2011-11-01,19.0,1.0
2011-11-02,21.0,1.0
2011-11-03,19.0,1.0
2011-11-04,21.0,1.0
2011-11-05,19.0,1.0
2011-11-06,12.0,1.0
2011-11-07,18.0,1.0
2011-11-08,17.0,1.0
2011-11-09,19.0,1.0
2011-11-10,18.0,1.0
2011-11-11,18.0,1.0
2011-11-12,15.0,1.0
2011-11-13,13.0,1.0
2011-11-14,20.0,1.0
2011-11-15,18.0,1.0
2011-11-16,22.0,1.0
2011-11-17,20.0,1.0
2011-11-18,19.0,1.0
2011-11-19,15.0,1.0
2011-11-20,13.0,1.0
2011-11-21,19.0,1.0
2011-11-22,19.0,1.0
2011-11-23,18.0,1.0
2011-11-24,19.0,1.0
2011-11-25,19.0,1.0
2011-11-26,15.0,1.0
2011-11-27,14.0,1.0
2011-11-28,19.0,1.0
2011-11-29,19.0,1.0
2011-11-30,21.0,1.0
2011-12-01,22.0,1.0
2011-12-02,19.0,1.0
2011-12-03,18.0,1.0
2011-12-04,14.0,1.0
2011-12-05,21.0,1.0
2011-12-06,21.0,1.0
2011-12-07,26.0,1.0
2011-12-08,25.0,1.0
2011-12-09,26.0,1.0
2011-12-10,19.0,
2011-12-11,11.0,
2011-12-12,18.0,
2011-12-13,20.0,
2011-12-14,19.0,
2011-12-15,18.0,
2011-12-16,22.0,
2011-12-17,13.0,
2011-12-18,13.0,
2011-12-19,17.0,
2011-12-20,31.0,
2011-12-21,23.0,
2011-12-22,17.0,
2011-12-23,19.0,
2011-12-24,14.0,
2011-12-25,16.0,
2011-12-26,21.0,
2011-12-27,20.0,
2011-12-28,16.0,
2011-12-29,17.0,
2011-12-30,13.0,
2011-12-31,10.0,
2012-01-01,10.0,
2012-01-02,20.0,
2012-01-03,22.0,
2012-01-04,22.0,
2012-01-05,20.0,
2012-01-06,22.0,
2012-01-07,16.0,
2012-01-08,13.0,
2012-01-09,13.0,
2012-01-10,18.0,
2012-01-11,19.0,
2012-01-12,19.0,
2012-01-13,17.0,
2012-01-14,15.0,
2012-01-15,14.0,
2012-01-16,21.0,
2012-01-17,26.0,
2012-01-18,22.0,
2012-01-19,27.0,
2012-01-20,32.0,
2012-01-21,18.0,
2012-01-22,17.0,
2012-01-23,24.0,
2012-01-24,25.0,
2012-01-25,23.0,
2012-01-26,16.0,
2012-01-27,25.0,
2012-01-28,12.0,
2012-01-29,11.0,
2012-01-30,18.0,
2012-01-31,21.0,
2012-02-01,19.0,
2012-02-02,22.0,
2012-02-03,18.0,
2012-02-04,14.0,
2012-02-05,13.0,
2012-02-06,18.0,
2012-02-07,21.0,
2012-02-08,20.0,
2012-02-09,24.0,
2012-02-10,20.0,
2012-02-11,16.0,
2012-02-12,12.0,
2012-02-13,16.0,
2012-02-14,19.0,
2012-02-15,18.0,
2012-02-16,17.0,1.0
2012-02-17,20.0,1.0
2012-02-18,12.0,1.0
2012-02-19,12.0,1.0
2012-02-20,17.0,1.0
2012-02-21,18.0,1.0
2012-02-22,20.0,1.0
2012-02-23,24.0,1.0
2012-02-24,23.0,1.0
2012-02-25,21.0,1.0
2012-02-26,16.0,1.0
2012-02-27,22.0,1.0
2012-02-28,23.0,1.0
2012-02-29,21.0,1.0
2012-03-01,24.0,1.0
2012-03-02,25.0,1.0
2012-03-03,19.0,1.0
2012-03-04,11.0,1.0
2012-03-05,20.0,1.0
2012-03-06,16.0,1.0
2012-03-07,14.0,1.0
2012-03-08,14.0,1.0
2012-03-09,15.0,1.0
2012-03-10,11.0,1.0
2012-03-11,10.0,1.0
2012-03-12,18.0,1.0
2012-03-13,16.0,1.0
2012-03-14,19.0,1.0
2012-03-15,16.0,1.0
2012-03-16,15.0,1.0
2012-03-17,12.0,1.0
2012-03-18,10.0,1.0
2012-03-19,19.0,1.0
2012-03-20,16.0,1.0
2012-03-21,17.0,1.0
2012-03-22,14.0,1.0
2012-03-23,15.0,1.0
2012-03-24,13.0,1.0
2012-03-25,11.0,1.0
2012-03-26,18.0,1.0
2012-03-27,17.0,1.0
2012-03-28,18.0,1.0
2012-03-29,15.0,1.0
2012-03-30,16.0,1.0
2012-03-31,13.0,1.0
2012-04-01,9.0,1.0
2012-04-02,19.0,1.0
2012-04-03,17.0,1.0
2012-04-04,18.0,1.0
2012-04-05,17.0,1.0
2012-04-06,13.0,1.0
2012-04-07,12.0,1.0
2012-04-08,10.0,1.0
2012-04-09,15.0,1.0
2012-04-10,14.0,1.0
2012-04-11,14.0,1.0
2012-04-12,14.0,1.0
2012-04-13,14.0,1.0
2012-04-14,10.0,1.0
2012-04-15,11.0,1.0
2012-04-16,17.0,1.0
2012-04-17,17.0,1.0
2012-04-18,17.0,1.0
2012-04-19,18.0,1.0
2012-04-20,17.0,1.0
2012-04-21,8.0,1.0
2012-04-22,11.0,1.0
2012-04-23,16.0,1.0
2012-04-24,15.0,1.0
2012-04-25,22.0,1.0
2012-04-26,19.0,1.0
2012-04-27,18.0,1.0
2012-04-28,12.0,1.0
2012-04-29,11.0,1.0
2012-04-30,17.0,1.0
2012-05-01,17.0,1.0
2012-05-02,18.0,1.0
2012-05-03,17.0,1.0
2012-05-04,17.0,1.0
2012-05-05,11.0,1.0
2012-05-06,9.0,1.0
2012-05-07,16.0,1.0
2012-05-08,17.0,1.0
2012-05-09,18.0,1.0
2012-05-10,16.0,1.0
2012-05-11,15.0,1.0
2012-05-12,14.0,1.0
2012-05-13,11.0,1.0
2012-05-14,16.0,1.0
2012-05-15,13.0,1.0
2012-05-16,17.0,1.0
2012-05-17,15.0,1.0
2012-05-18,15.0,1.0
2012-05-19,12.0,1.0
2012-05-20,9.0,1.0
2012-05-21,15.0,1.0
2012-05-22,16.0,1.0
2012-05-23,15.0,1.0
2012-05-24,18.0,1.0
2012-05-25,14.0,1.0
2012-05-26,14.0,1.0
2012-05-27,8.0,
2012-05-28,17.0,
2012-05-29,18.0,
2012-05-30,18.0,
2012-05-31,13.0,
2012-06-01,12.0,
2012-06-02,11.0,
2012-06-03,10.0,
2012-06-04,18.0,
2012-06-05,17.0,
2012-06-06,14.0,
2012-06-07,14.0,
2012-06-08,18.0,
2012-06-09,12.0,
2012-06-10,12.0,
2012-06-11,16.0,
2012-06-12,18.0,
2012-06-13,19.0,
2012-06-14,17.0,
2012-06-15,17.0,
2012-06-16,14.0,
2012-06-17,12.0,
2012-06-18,19.0,
2012-06-19,16.0,
2012-06-20,17.0,
2012-06-21,20.0,
2012-06-22,20.0,
2012-06-23,12.0,
2012-06-24,7.0,
2012-06-25,14.0,
2012-06-26,16.0,
2012-06-27,19.0,
2012-06-28,18.0,
2012-06-29,15.0,
2012-06-30,16.0,
2012-07-01,12.0,
2012-07-02,22.0,
2012-07-03,21.0,
2012-07-04,19.0,
2012-07-05,23.0,
2012-07-06,19.0,
2012-07-07,13.0,
2012-07-08,12.0,
2012-07-09,21.0,
2012-07-10,17.0,
2012-07-11,19.0,
2012-07-12,19.0,
2012-07-13,20.0,
2012-07-14,13.0,
2012-07-15,12.0,
2012-07-16,17.0,
2012-07-17,19.0,
2012-07-18,16.0,
2012-07-19,21.0,
2012-07-20,16.0,
2012-07-21,16.0,
2012-07-22,11.0,
2012-07-23,18.0,
2012-07-24,22.0,
2012-07-25,22.0,
2012-07-26,21.0,
2012-07-27,21.0,
2012-07-28,14.0,
2012-07-29,16.0,
2012-07-30,20.0,
2012-07-31,16.0,
2012-08-01,18.0,
2012-08-02,17.0,
2012-08-03,18.0,1.0
2012-08-04,13.0,1.0
2012-08-05,14.0,1.0
2012-08-06,16.0,1.0
2012-08-07,17.0,1.0
2012-08-08,21.0,1.0
2012-08-09,17.0,1.0
2012-08-10,15.0,1.0
2012-08-11,13.0,1.0
2012-08-12,8.0,1.0
2012-08-13,22.0,1.0
2012-08-14,17.0,1.0
2012-08-15,12.0,1.0
2012-08-16,17.0,1.0
2012-08-17,19.0,1.0
2012-08-18,17.0,1.0
2012-08-19,12.0,1.0
2012-08-20,17.0,1.0
2012-08-21,20.0,1.0
2012-08-22,21.0,1.0
2012-08-23,20.0,1.0
2012-08-24,19.0,1.0
2012-08-25,13.0,1.0
2012-08-26,13.0,1.0
2012-08-27,22.0,1.0
2012-08-28,21.0,1.0
2012-08-29,21.0,1.0
2012-08-30,19.0,1.0
2012-08-31,19.0,1.0
2012-09-01,15.0,1.0
2012-09-02,15.0,1.0
2012-09-03,21.0,1.0
2012-09-04,17.0,1.0
2012-09-05,22.0,1.0
2012-09-06,21.0,1.0
2012-09-07,18.0,1.0
2012-09-08,17.0,1.0
2012-09-09,15.0,1.0
2012-09-10,21.0,1.0
2012-09-11,21.0,1.0
2012-09-12,22.0,1.0
2012-09-13,22.0,1.0
2012-09-14,20.0,1.0
2012-09-15,18.0,1.0
2012-09-16,15.0,1.0
2012-09-17,19.0,1.0
2012-09-18,19.0,1.0
2012-09-19,17.0,1.0
2012-09-20,21.0,1.0
2012-09-21,19.0,1.0
2012-09-22,14.0,1.0
2012-09-23,13.0,1.0
2012-09-24,20.0,1.0
2012-09-25,22.0,1.0
2012-09-26,18.0,1.0
2012-09-27,19.0,1.0
2012-09-28,18.0,1.0
2012-09-29,15.0,1.0
2012-09-30,12.0,1.0
2012-10-01,21.0,1.0
2012-10-02,14.0,1.0
2012-10-03,18.0,1.0
2012-10-04,17.0,1.0
2012-10-05,18.0,1.0
2012-10-06,18.0,1.0
2012-10-07,12.0,1.0
2012-10-08,19.0,1.0
2012-10-09,21.0,1.0
2012-10-10,18.0,1.0
2012-10-11,19.0,1.0
2012-10-12,18.0,1.0
